heartrate,activityid,time
69,104,2020-12-23 12:10:50.289000000
69,104,2020-12-23 12:10:51.289000000
69,104,2020-12-23 12:10:52.289000000
69,104,2020-12-23 12:10:53.289000000
69,104,2020-12-23 12:10:54.289000000
69,104,2020-12-23 12:10:55.289000000
69,104,2020-12-23 12:10:56.289000000
69,104,2020-12-23 12:10:57.289000000
69,104,2020-12-23 12:10:58.289000000
69,104,2020-12-23 12:10:59.289000000
69,104,2020-12-23 12:11:00.289000000
69,104,2020-12-23 12:11:01.289000000
69,104,2020-12-23 12:11:02.289000000
69,104,2020-12-23 12:11:03.289000000
69,104,2020-12-23 12:11:04.289000000
69,104,2020-12-23 12:11:05.289000000
69,104,2020-12-23 12:11:06.289000000
69,104,2020-12-23 12:11:07.289000000
69,104,2020-12-23 12:11:08.289000000
69,104,2020-12-23 12:11:09.289000000
69,104,2020-12-23 12:11:10.289000000
69,104,2020-12-23 12:11:11.289000000
69,104,2020-12-23 12:11:12.289000000
69,104,2020-12-23 12:11:13.289000000
69,104,2020-12-23 12:11:14.289000000
69,104,2020-12-23 12:11:15.289000000
70,104,2020-12-23 12:11:16.289000000
70,104,2020-12-23 12:11:17.289000000
70,104,2020-12-23 12:11:18.289000000
70,104,2020-12-23 12:11:19.289000000
70,104,2020-12-23 12:11:20.289000000
70,104,2020-12-23 12:11:21.289000000
70,104,2020-12-23 12:11:22.289000000
70,104,2020-12-23 12:11:23.289000000
70,104,2020-12-23 12:11:24.289000000
70,104,2020-12-23 12:11:25.289000000
70,104,2020-12-23 12:11:26.289000000
70,104,2020-12-23 12:11:27.289000000
70,104,2020-12-23 12:11:28.289000000
70,104,2020-12-23 12:11:29.289000000
70,104,2020-12-23 12:11:30.289000000
70,104,2020-12-23 12:11:31.289000000
70,104,2020-12-23 12:11:32.289000000
70,104,2020-12-23 12:11:33.289000000
70,104,2020-12-23 12:11:34.289000000
70,104,2020-12-23 12:11:35.289000000
70,104,2020-12-23 12:11:36.289000000
70,104,2020-12-23 12:11:37.289000000
109,101,2020-12-23 12:43:55.422000000
109,101,2020-12-23 12:43:56.422000000
109,101,2020-12-23 12:43:57.422000000
109,101,2020-12-23 12:43:58.422000000
109,101,2020-12-23 12:43:59.422000000
109,101,2020-12-23 12:44:00.422000000
109,101,2020-12-23 12:44:01.422000000
109,101,2020-12-23 12:44:02.422000000
109,101,2020-12-23 12:44:03.422000000
109,101,2020-12-23 12:44:04.422000000
109,101,2020-12-23 12:44:05.422000000
109,101,2020-12-23 12:44:06.422000000
109,101,2020-12-23 12:44:07.422000000
109,101,2020-12-23 12:44:08.422000000
110,101,2020-12-23 12:44:09.422000000
111,101,2020-12-23 12:44:10.422000000
111,101,2020-12-23 12:44:11.422000000
112,101,2020-12-23 12:44:12.422000000
113,101,2020-12-23 12:44:13.422000000
114,101,2020-12-23 12:44:14.422000000
116,101,2020-12-23 12:44:15.422000000
116,101,2020-12-23 12:44:16.422000000
116,101,2020-12-23 12:44:17.422000000
118,101,2020-12-23 12:44:18.422000000
124,101,2020-12-23 12:44:19.422000000
129,101,2020-12-23 12:44:20.422000000
133,101,2020-12-23 12:44:21.422000000
137,101,2020-12-23 12:44:22.422000000
140,101,2020-12-23 12:44:23.422000000
142,101,2020-12-23 12:44:24.422000000
144,101,2020-12-23 12:44:25.422000000
146,101,2020-12-23 12:44:26.422000000
144,101,2020-12-23 12:44:27.422000000
146,101,2020-12-23 12:44:28.422000000
147,101,2020-12-23 12:44:29.422000000
147,101,2020-12-23 12:44:30.422000000
147,101,2020-12-23 12:44:31.422000000
146,101,2020-12-23 12:44:32.422000000
146,101,2020-12-23 12:44:33.422000000
146,101,2020-12-23 12:44:34.422000000
146,101,2020-12-23 12:44:35.422000000
146,101,2020-12-23 12:44:36.422000000
151,101,2020-12-23 12:44:37.422000000
150,101,2020-12-23 12:44:38.422000000
150,101,2020-12-23 12:44:39.422000000
149,101,2020-12-23 12:44:40.422000000
148,101,2020-12-23 12:44:41.422000000
147,101,2020-12-23 12:44:42.422000000
146,101,2020-12-23 12:44:43.422000000
144,101,2020-12-23 12:44:44.422000000
143,101,2020-12-23 12:44:45.422000000
142,101,2020-12-23 12:44:46.422000000
141,101,2020-12-23 12:44:47.422000000
139,101,2020-12-23 12:44:48.422000000
139,101,2020-12-23 12:44:49.422000000
138,101,2020-12-23 12:44:50.422000000
138,101,2020-12-23 12:44:51.422000000
137,101,2020-12-23 12:44:52.422000000
136,101,2020-12-23 12:44:53.422000000
136,101,2020-12-23 12:44:54.422000000
136,101,2020-12-23 12:44:55.422000000
135,101,2020-12-23 12:44:56.422000000
135,101,2020-12-23 12:44:57.422000000
135,101,2020-12-23 12:44:58.422000000
135,101,2020-12-23 12:44:59.422000000
135,101,2020-12-23 12:45:00.422000000
135,101,2020-12-23 12:45:01.422000000
135,101,2020-12-23 12:45:02.422000000
135,101,2020-12-23 12:45:03.422000000
135,101,2020-12-23 12:45:04.422000000
133,101,2020-12-23 12:45:05.422000000
131,101,2020-12-23 12:45:06.422000000
131,101,2020-12-23 12:45:07.422000000
132,101,2020-12-23 12:45:08.422000000
132,101,2020-12-23 12:45:09.422000000
132,101,2020-12-23 12:45:10.422000000
132,101,2020-12-23 12:45:11.422000000
131,101,2020-12-23 12:45:12.422000000
131,101,2020-12-23 12:45:13.422000000
131,101,2020-12-23 12:45:14.422000000
132,101,2020-12-23 12:45:15.422000000
132,101,2020-12-23 12:45:16.422000000
132,101,2020-12-23 12:45:17.422000000
132,101,2020-12-23 12:45:18.422000000
131,101,2020-12-23 12:45:19.422000000
131,101,2020-12-23 12:45:20.422000000
131,101,2020-12-23 12:45:21.422000000
131,101,2020-12-23 12:45:22.422000000
139,101,2020-12-23 12:45:23.422000000
140,101,2020-12-23 12:45:24.422000000
140,101,2020-12-23 12:45:25.422000000
140,101,2020-12-23 12:45:26.422000000
140,101,2020-12-23 12:45:27.422000000
140,101,2020-12-23 12:45:28.422000000
140,101,2020-12-23 12:45:29.422000000
140,101,2020-12-23 12:45:30.422000000
140,101,2020-12-23 12:45:31.422000000
140,101,2020-12-23 12:45:32.422000000
141,101,2020-12-23 12:45:33.422000000
141,101,2020-12-23 12:45:34.422000000
141,101,2020-12-23 12:45:35.422000000
141,101,2020-12-23 12:45:36.422000000
141,101,2020-12-23 12:45:37.422000000
141,101,2020-12-23 12:45:38.422000000
141,101,2020-12-23 12:45:39.422000000
141,101,2020-12-23 12:45:40.422000000
141,101,2020-12-23 12:45:41.422000000
141,101,2020-12-23 12:45:42.422000000
143,101,2020-12-23 12:45:43.422000000
143,101,2020-12-23 12:45:44.422000000
143,101,2020-12-23 12:45:45.422000000
143,101,2020-12-23 12:45:46.422000000
143,101,2020-12-23 12:45:47.422000000
142,101,2020-12-23 12:45:48.422000000
142,101,2020-12-23 12:45:49.422000000
142,101,2020-12-23 12:45:50.422000000
142,101,2020-12-23 12:45:51.422000000
142,101,2020-12-23 12:45:52.422000000
141,101,2020-12-23 12:45:53.422000000
141,101,2020-12-23 12:45:54.422000000
141,101,2020-12-23 12:45:55.422000000
141,101,2020-12-23 12:45:56.422000000
141,101,2020-12-23 12:45:57.422000000
141,101,2020-12-23 12:45:58.422000000
141,101,2020-12-23 12:45:59.422000000
141,101,2020-12-23 12:46:00.422000000
141,101,2020-12-23 12:46:01.422000000
141,101,2020-12-23 12:46:02.422000000
142,101,2020-12-23 12:46:03.422000000
142,101,2020-12-23 12:46:04.422000000
142,101,2020-12-23 12:46:05.422000000
142,101,2020-12-23 12:46:06.422000000
142,101,2020-12-23 12:46:07.422000000
142,101,2020-12-23 12:46:08.422000000
142,101,2020-12-23 12:46:09.422000000
142,101,2020-12-23 12:46:10.422000000
142,101,2020-12-23 12:46:11.422000000
142,101,2020-12-23 12:46:12.422000000
142,101,2020-12-23 12:46:13.422000000
142,101,2020-12-23 12:46:14.422000000
142,101,2020-12-23 12:46:15.422000000
142,101,2020-12-23 12:46:16.422000000
142,101,2020-12-23 12:46:17.422000000
143,101,2020-12-23 12:46:18.422000000
143,101,2020-12-23 12:46:19.422000000
143,101,2020-12-23 12:46:20.422000000
143,101,2020-12-23 12:46:21.422000000
143,101,2020-12-23 12:46:22.422000000
143,101,2020-12-23 12:46:23.422000000
143,101,2020-12-23 12:46:24.422000000
143,101,2020-12-23 12:46:25.422000000
143,101,2020-12-23 12:46:26.422000000
143,101,2020-12-23 12:46:27.422000000
141,101,2020-12-23 12:46:28.422000000
141,101,2020-12-23 12:46:29.422000000
141,101,2020-12-23 12:46:30.422000000
141,101,2020-12-23 12:46:31.422000000
141,101,2020-12-23 12:46:32.422000000
145,101,2020-12-23 12:46:33.422000000
145,101,2020-12-23 12:46:34.422000000
145,101,2020-12-23 12:46:35.422000000
145,101,2020-12-23 12:46:36.422000000
145,101,2020-12-23 12:46:37.422000000
144,101,2020-12-23 12:46:38.422000000
144,101,2020-12-23 12:46:39.422000000
144,101,2020-12-23 12:46:40.422000000
144,101,2020-12-23 12:46:41.422000000
144,101,2020-12-23 12:46:42.422000000
143,101,2020-12-23 12:46:43.422000000
143,101,2020-12-23 12:46:44.422000000
143,101,2020-12-23 12:46:45.422000000
143,101,2020-12-23 12:46:46.422000000
143,101,2020-12-23 12:46:47.422000000
145,101,2020-12-23 12:46:48.422000000
145,101,2020-12-23 12:46:49.422000000
145,101,2020-12-23 12:46:50.422000000
145,101,2020-12-23 12:46:51.422000000
145,101,2020-12-23 12:46:52.422000000
144,101,2020-12-23 12:46:53.422000000
144,101,2020-12-23 12:46:54.422000000
144,101,2020-12-23 12:46:55.422000000
144,101,2020-12-23 12:46:56.422000000
144,101,2020-12-23 12:46:57.422000000
144,101,2020-12-23 12:46:58.422000000
144,101,2020-12-23 12:46:59.422000000
144,101,2020-12-23 12:47:00.422000000
144,101,2020-12-23 12:47:01.422000000
144,101,2020-12-23 12:47:02.422000000
146,101,2020-12-23 12:47:03.422000000
146,101,2020-12-23 12:47:04.422000000
146,101,2020-12-23 12:47:05.422000000
146,101,2020-12-23 12:47:06.422000000
146,101,2020-12-23 12:47:07.422000000
151,101,2020-12-23 12:47:08.422000000
151,101,2020-12-23 12:47:09.422000000
151,101,2020-12-23 12:47:10.422000000
151,101,2020-12-23 12:47:11.422000000
151,101,2020-12-23 12:47:12.422000000
151,101,2020-12-23 12:47:13.422000000
151,101,2020-12-23 12:47:14.422000000
151,101,2020-12-23 12:47:15.422000000
151,101,2020-12-23 12:47:16.422000000
151,101,2020-12-23 12:47:17.422000000
148,101,2020-12-23 12:47:18.422000000
148,101,2020-12-23 12:47:19.422000000
148,101,2020-12-23 12:47:20.422000000
148,101,2020-12-23 12:47:21.422000000
148,101,2020-12-23 12:47:22.422000000
149,101,2020-12-23 12:47:23.422000000
149,101,2020-12-23 12:47:24.422000000
149,101,2020-12-23 12:47:25.422000000
150,101,2020-12-23 12:47:26.422000000
150,101,2020-12-23 12:47:27.422000000
150,101,2020-12-23 12:47:28.422000000
150,101,2020-12-23 12:47:29.422000000
150,101,2020-12-23 12:47:30.422000000
150,101,2020-12-23 12:47:31.422000000
150,101,2020-12-23 12:47:32.422000000
148,101,2020-12-23 12:47:33.422000000
148,101,2020-12-23 12:47:34.422000000
148,101,2020-12-23 12:47:35.422000000
148,101,2020-12-23 12:47:36.422000000
148,101,2020-12-23 12:47:37.422000000
150,101,2020-12-23 12:47:38.422000000
150,101,2020-12-23 12:47:39.422000000
150,101,2020-12-23 12:47:40.422000000
150,101,2020-12-23 12:47:41.422000000
150,101,2020-12-23 12:47:42.422000000
149,101,2020-12-23 12:47:43.422000000
149,101,2020-12-23 12:47:44.422000000
149,101,2020-12-23 12:47:45.422000000
149,101,2020-12-23 12:47:46.422000000
149,101,2020-12-23 12:47:47.422000000
154,101,2020-12-23 12:47:48.422000000
154,101,2020-12-23 12:47:49.422000000
154,101,2020-12-23 12:47:50.422000000
154,101,2020-12-23 12:47:51.422000000
154,101,2020-12-23 12:47:52.422000000
157,101,2020-12-23 12:47:53.422000000
157,101,2020-12-23 12:47:54.422000000
157,101,2020-12-23 12:47:55.422000000
157,101,2020-12-23 12:47:56.422000000
157,101,2020-12-23 12:47:57.422000000
156,101,2020-12-23 12:47:58.422000000
156,101,2020-12-23 12:47:59.422000000
156,101,2020-12-23 12:48:00.422000000
156,101,2020-12-23 12:48:01.422000000
156,101,2020-12-23 12:48:02.422000000
153,101,2020-12-23 12:48:03.422000000
153,101,2020-12-23 12:48:04.422000000
153,101,2020-12-23 12:48:05.422000000
153,101,2020-12-23 12:48:06.422000000
153,101,2020-12-23 12:48:07.422000000
153,101,2020-12-23 12:48:08.422000000
154,101,2020-12-23 12:48:09.422000000
154,101,2020-12-23 12:48:10.422000000
152,101,2020-12-23 12:48:11.422000000
152,101,2020-12-23 12:48:12.422000000
152,101,2020-12-23 12:48:13.422000000
152,101,2020-12-23 12:48:14.422000000
152,101,2020-12-23 12:48:15.422000000
151,101,2020-12-23 12:48:16.422000000
151,101,2020-12-23 12:48:17.422000000
151,101,2020-12-23 12:48:18.422000000
151,101,2020-12-23 12:48:19.422000000
151,101,2020-12-23 12:48:20.422000000
150,101,2020-12-23 12:48:21.422000000
150,101,2020-12-23 12:48:22.422000000
150,101,2020-12-23 12:48:23.422000000
150,101,2020-12-23 12:48:24.422000000
150,101,2020-12-23 12:48:25.422000000
152,101,2020-12-23 12:48:26.422000000
152,101,2020-12-23 12:48:27.422000000
152,101,2020-12-23 12:48:28.422000000
152,101,2020-12-23 12:48:29.422000000
152,101,2020-12-23 12:48:30.422000000
156,101,2020-12-23 12:48:31.422000000
156,101,2020-12-23 12:48:32.422000000
156,101,2020-12-23 12:48:33.422000000
156,101,2020-12-23 12:48:34.422000000
156,101,2020-12-23 12:48:35.422000000
162,101,2020-12-23 12:48:36.422000000
162,101,2020-12-23 12:48:37.422000000
162,101,2020-12-23 12:48:38.422000000
162,101,2020-12-23 12:48:39.422000000
162,101,2020-12-23 12:48:40.422000000
163,101,2020-12-23 12:48:41.422000000
163,101,2020-12-23 12:48:42.422000000
163,101,2020-12-23 12:48:43.422000000
163,101,2020-12-23 12:48:44.422000000
163,101,2020-12-23 12:48:45.422000000
167,101,2020-12-23 12:48:46.422000000
167,101,2020-12-23 12:48:47.422000000
167,101,2020-12-23 12:48:48.422000000
167,101,2020-12-23 12:48:49.422000000
167,101,2020-12-23 12:48:50.422000000
168,101,2020-12-23 12:48:51.422000000
168,101,2020-12-23 12:48:52.422000000
168,101,2020-12-23 12:48:53.422000000
168,101,2020-12-23 12:48:54.422000000
168,101,2020-12-23 12:48:55.422000000
174,101,2020-12-23 12:48:56.422000000
174,101,2020-12-23 12:48:57.422000000
174,101,2020-12-23 12:48:58.422000000
174,101,2020-12-23 12:48:59.422000000
174,101,2020-12-23 12:49:00.422000000
164,101,2020-12-23 12:49:01.422000000
164,101,2020-12-23 12:49:02.422000000
164,101,2020-12-23 12:49:03.422000000
164,101,2020-12-23 12:49:04.422000000
