sensordatax,sensordatay,sensordataz,activityid,time
0.024501800537109375,-0.009587287902832031,0.0031957626342773438,104,2020-12-22 17:08:21.845000000
0.0,-0.0010652542114257812,0.0021305084228515625,104,2020-12-22 17:08:21.745000000
0.0,-0.0021305084228515625,-0.0010652542114257812,104,2020-12-22 17:08:21.645000000
-0.0010652542114257812,0.0,0.0010652542114257812,104,2020-12-22 17:08:21.545000000
-0.0021305084228515625,0.0010652542114257812,0.0021305084228515625,104,2020-12-22 17:08:21.445000000
-0.010652542114257812,0.0010652542114257812,0.0031957626342773438,104,2020-12-22 17:08:21.345000000
-0.0031957626342773438,0.0,0.0010652542114257812,104,2020-12-22 17:08:21.245000000
-0.005326271057128906,-0.0010652542114257812,-0.0010652542114257812,104,2020-12-22 17:08:21.145000000
0.0063915252685546875,-0.0031957626342773438,-0.009587287902832031,104,2020-12-22 17:08:21.045000000
0.0010652542114257812,-0.0021305084228515625,0.0010652542114257812,104,2020-12-22 17:08:20.945000000
-0.009587287902832031,-0.0021305084228515625,0.0021305084228515625,104,2020-12-22 17:08:20.845000000
-0.03515434265136719,0.007456779479980469,0.0031957626342773438,104,2020-12-22 17:08:20.745000000
0.023435592651367188,0.0,-0.0021305084228515625,104,2020-12-22 17:08:20.645000000
0.022370338439941406,-0.01597881317138672,-0.013848304748535156,104,2020-12-22 17:08:20.545000000
-0.040480613708496094,-0.007456779479980469,-0.03835010528564453,104,2020-12-22 17:08:20.445000000
-0.042611122131347656,0.007456779479980469,-0.00852203369140625,104,2020-12-22 17:08:20.345000000
0.013848304748535156,-0.0031957626342773438,0.0010652542114257812,104,2020-12-22 17:08:20.245000000
0.06604766845703125,-0.019174575805664062,0.05113410949707031,104,2020-12-22 17:08:20.145000000
0.021305084228515625,0.0031957626342773438,0.04367637634277344,104,2020-12-22 17:08:20.045000000
-0.06498241424560547,0.019174575805664062,-0.021305084228515625,104,2020-12-22 17:08:19.945000000
0.010652542114257812,0.0010652542114257812,0.007456779479980469,104,2020-12-22 17:08:19.845000000
0.03515434265136719,-0.005326271057128906,0.004261016845703125,104,2020-12-22 17:08:19.745000000
0.01597881317138672,0.0,0.0021305084228515625,104,2020-12-22 17:08:19.645000000
-0.004261016845703125,0.0010652542114257812,-0.010652542114257812,104,2020-12-22 17:08:19.545000000
-0.005326271057128906,-0.0021305084228515625,-0.013848304748535156,104,2020-12-22 17:08:19.445000000
0.040480613708496094,-0.013848304748535156,-0.01597881317138672,104,2020-12-22 17:08:19.345000000
0.040480613708496094,-0.012783050537109375,0.01810932159423828,104,2020-12-22 17:08:19.245000000
0.021305084228515625,-0.0031957626342773438,0.004261016845703125,104,2020-12-22 17:08:19.145000000
-0.0170440673828125,0.005326271057128906,-0.0010652542114257812,104,2020-12-22 17:08:19.045000000
0.0010652542114257812,0.0063915252685546875,0.007456779479980469,104,2020-12-22 17:08:18.945000000
-0.040480613708496094,0.0063915252685546875,0.01810932159423828,104,2020-12-22 17:08:18.845000000
0.042611122131347656,0.013848304748535156,-0.06391716003417969,104,2020-12-22 17:08:18.745000000
-0.12677001953125,0.09267997741699219,-0.06817817687988281,104,2020-12-22 17:08:18.645000000
-0.30893516540527344,0.1331615447998047,-0.023435592651367188,104,2020-12-22 17:08:18.545000000
-0.38031005859375,0.12996578216552734,-0.0021305084228515625,104,2020-12-22 17:08:18.445000000
-0.4090738296508789,0.10120296478271484,-0.045806884765625,104,2020-12-22 17:08:18.345000000
-0.2705850601196289,0.03621959686279297,-0.04474163055419922,104,2020-12-22 17:08:18.245000000
-0.2759113311767578,0.021305084228515625,-0.09694194793701172,104,2020-12-22 17:08:18.145000000
-0.18003463745117188,0.034089088439941406,-0.0287628173828125,104,2020-12-22 17:08:18.045000000
-0.005326271057128906,0.004261016845703125,0.010652542114257812,104,2020-12-22 17:08:17.945000000
-0.060721397399902344,-0.005326271057128906,-0.02982807159423828,104,2020-12-22 17:08:17.845000000
-0.07350540161132812,0.004261016845703125,-0.013848304748535156,104,2020-12-22 17:08:17.745000000
