TIMESTAMP,HEARTRATE,ACTIVITY_ID
2020-08-25 19:23:14.590000+03:00,76,107
2020-08-25 19:23:15.590000+03:00,76,107
2020-08-25 19:23:16.590000+03:00,76,107
2020-08-25 19:23:17.590000+03:00,76,107
2020-08-25 19:23:18.590000+03:00,76,107
2020-08-25 19:23:19.590000+03:00,76,107
2020-08-25 19:23:20.590000+03:00,76,107
2020-08-25 19:23:21.590000+03:00,77,107
2020-08-25 19:23:22.590000+03:00,77,107
2020-08-25 19:23:23.590000+03:00,78,107
2020-08-25 19:23:24.590000+03:00,78,107
2020-08-25 19:23:25.590000+03:00,78,107
2020-08-25 19:23:26.590000+03:00,78,107
2020-08-25 19:23:27.590000+03:00,78,107
2020-08-25 19:23:28.590000+03:00,79,107
2020-08-25 19:23:29.590000+03:00,79,107
2020-08-25 19:23:30.590000+03:00,79,107
2020-08-25 19:23:31.590000+03:00,79,107
2020-08-25 19:23:32.590000+03:00,79,107
2020-08-25 19:23:33.590000+03:00,79,107
2020-08-25 19:23:34.590000+03:00,79,107
2020-08-25 19:23:35.590000+03:00,79,107
2020-08-25 19:23:36.590000+03:00,79,107
2020-08-25 19:23:37.590000+03:00,79,107
2020-08-25 19:23:38.590000+03:00,85,107
2020-08-25 19:23:39.590000+03:00,85,107
2020-08-25 19:23:40.590000+03:00,86,107
2020-08-25 19:23:41.590000+03:00,86,107
2020-08-25 19:23:42.590000+03:00,86,107
2020-08-25 19:23:43.590000+03:00,87,107
2020-08-25 19:23:44.590000+03:00,87,107
2020-08-25 19:23:45.590000+03:00,86,107
2020-08-25 19:23:46.590000+03:00,86,107
2020-08-25 19:23:47.590000+03:00,86,107
2020-08-25 19:23:48.590000+03:00,86,107
2020-08-25 19:23:49.590000+03:00,86,107
2020-08-25 19:23:50.590000+03:00,86,107
2020-08-25 19:23:51.590000+03:00,85,107
2020-08-25 19:23:52.590000+03:00,85,107
2020-08-25 19:23:53.590000+03:00,85,107
2020-08-25 19:23:54.590000+03:00,85,107
2020-08-25 19:23:55.590000+03:00,85,107
2020-08-25 19:23:56.590000+03:00,85,107
2020-08-25 19:23:57.590000+03:00,85,107
2020-08-25 19:23:58.590000+03:00,85,107
2020-08-25 19:23:59.590000+03:00,85,107
2020-08-25 19:24:00.590000+03:00,86,107
2020-08-25 19:24:01.590000+03:00,86,107
2020-08-25 19:24:02.590000+03:00,86,107
2020-08-25 19:24:03.590000+03:00,86,107
2020-08-25 19:24:04.590000+03:00,86,107
2020-08-25 19:24:05.590000+03:00,86,107
2020-08-25 19:24:06.590000+03:00,86,107
2020-08-25 19:24:07.590000+03:00,87,107
2020-08-25 19:24:08.590000+03:00,87,107
2020-08-25 19:24:09.590000+03:00,88,107
2020-08-25 19:24:10.590000+03:00,88,107
2020-08-25 19:24:11.590000+03:00,88,107
2020-08-25 19:24:12.590000+03:00,88,107
2020-08-25 19:24:13.590000+03:00,88,107
2020-08-25 19:24:14.590000+03:00,88,107
2020-08-25 19:24:15.590000+03:00,89,107
2020-08-25 19:24:16.590000+03:00,89,107
2020-08-25 19:24:17.590000+03:00,89,107
2020-08-25 19:24:18.590000+03:00,89,107
2020-08-25 19:24:19.590000+03:00,89,107
2020-08-25 19:24:20.590000+03:00,90,107
2020-08-25 19:24:21.590000+03:00,89,107
2020-08-25 19:24:22.590000+03:00,89,107
2020-08-25 19:24:23.590000+03:00,88,107
2020-08-25 19:24:24.590000+03:00,88,107
2020-08-25 19:24:25.590000+03:00,88,107
2020-08-25 19:24:26.590000+03:00,87,107
2020-08-25 19:24:27.590000+03:00,87,107
2020-08-25 19:24:28.590000+03:00,87,107
2020-08-25 19:24:29.590000+03:00,87,107
2020-08-25 19:24:30.590000+03:00,87,107
2020-08-25 19:24:31.590000+03:00,87,107
2020-08-25 19:24:32.590000+03:00,87,107
2020-08-25 19:24:33.590000+03:00,87,107
2020-08-25 19:24:34.590000+03:00,87,107
2020-08-25 19:24:35.590000+03:00,86,107
2020-08-25 19:24:36.590000+03:00,86,107
2020-08-25 19:24:37.590000+03:00,86,107
2020-08-25 19:24:38.590000+03:00,86,107
2020-08-25 19:24:39.590000+03:00,86,107
2020-08-25 19:24:40.590000+03:00,86,107
2020-08-25 19:24:41.590000+03:00,86,107
2020-08-25 19:24:42.590000+03:00,86,107
2020-08-25 19:24:43.590000+03:00,86,107
2020-08-25 19:24:44.590000+03:00,86,107
2020-08-25 19:24:45.590000+03:00,86,107
2020-08-25 19:24:46.590000+03:00,86,107
2020-08-25 19:24:47.590000+03:00,86,107
2020-08-25 19:24:48.590000+03:00,86,107
2020-08-25 19:24:49.590000+03:00,87,107
2020-08-25 19:24:50.590000+03:00,87,107
2020-08-25 19:24:51.590000+03:00,87,107
2020-08-25 19:24:52.590000+03:00,87,107
2020-08-25 19:24:53.590000+03:00,87,107
2020-08-25 19:24:54.590000+03:00,88,107
2020-08-25 19:24:55.590000+03:00,88,107
2020-08-25 19:24:56.590000+03:00,88,107
2020-08-25 19:24:57.590000+03:00,88,107
